está,no direct translation,El libro está en la estantería de arriba.,The book is on the shelf above.,,,
está,no direct translation,Mi amigo está enfermo en casa hoy.,My friend is sick at home today.,,,
está,no direct translation,El tren está llegando a la estación.,The train is arriving at the station.,,,
está,no direct translation,Mi casa está en el campo.,My house is in the countryside.,,,
está,no direct translation,El edificio está en construcción.,The building is under construction.,,,
está,no direct translation,Está prohibido fumar en esta área.,Smoking is prohibited in this area.,,,
está,no direct translation,El café está caliente y listo para ser servido.,The coffee is hot and ready to be served.,,,
estás,no direct translation,¿Estás listo para empezar?,Are you ready to start?,,,
estás,no direct translation,¿Cómo estás hoy?,How are you today?,,,
estás,no direct translation,Estás preparado para esta aventura?,Are you ready for this adventure?,,,
estás,no direct translation,¿Estás seguro de que quieres hacer eso?,Are you sure you want to do that?,,,
estás,no direct translation,Estás muy guapa hoy.,You look very nice today.,,,
estás,no direct translation,"Hay un empleo disponible con la ciudad, si estás interesado.","There's a job available with the city, if you're interested.",,,
estás,no direct translation,Estás muy preparado para afrontar este desafío.,You are very well prepared to face this challenge.,,,
estás,no direct translation,Al menos dime la clase de trabajo que estás haciendo.,At least tell me the kind of work you're doing.,,,
estás,no direct translation,¿Por qué estás parada en la puerta?,Why are you standing at the door?,,,
estás,no direct translation,Estás haciendo un gran trabajo.,You are doing a great job.,,,
estás,no direct translation,Estás impresionada con tus logros.,You are impressed with your accomplishments.,,,
estás,no direct translation,Estás muy guapo hoy.,You look very handsome today.,,,
están,no direct translation,Los membresías están abiertas para todos aquellos interesados.,Memberships are open to all those interested.,,,
están,no direct translation,Los resultados de esta encuesta están sorprendentes.,The results of this survey are surprising.,,,
están,no direct translation,Los estudiantes están trabajando duramente para prepararse para los exámenes.,The students are working hard to prepare for the exams.,,,
están,no direct translation,Los resultados están ahí para verlos.,The results are there to see.,,,
están,no direct translation,Los platos están preparados para la cena.,The dishes are prepared for dinner.,,,
están,no direct translation,Estas flores están hermosas.,These flowers are beautiful.,,,
están,no direct translation,Los estudiantes están emocionados de regresar a clases.,The students are excited to return to classes.,,,
están,no direct translation,Los colores rojo y amarillo están brillando alegremente.,The colors red and yellow are shining brightly.,,,
están,no direct translation,Los árboles están floreciendo con sus bellas hojas.,The trees are blooming with their beautiful leaves.,,,
están,no direct translation,Estos libros están esparcidos por toda la habitación.,These books are scattered all over the room.,,,
están,no direct translation,Las estaciones de tren están siempre muy concurridas.,The train stations are always very crowded.,,,
están,no direct translation,Los niños están acurrucados en el sofá viendo una película.,The children are snuggled up on the couch watching a movie.,,,
estamos,no direct translation,Estamos comprometidos a trabajar duro para alcanzar nuestros objetivos.,We are committed to working hard to achieve our goals.,,,
estamos,no direct translation,Estamos emocionados de empezar este proyecto juntos.,We are excited to start this project together.,,,
estamos,no direct translation,Estamos comprometidos a hacer todo lo necesario para lograr nuestras metas.,We are committed to doing whatever it takes to achieve our goals.,,,
estamos,no direct translation,Estamos jugando juntos como un equipo.,We are playing together as a team.,,,
estamos,no direct translation,Estamos compartiendo recursos para ayudar a otros.,We are sharing resources to help others.,,,
estamos,no direct translation,Estamos trabajando para mejorar nuestra situación actual.,We are working to improve our current situation.,,,
estamos,no direct translation,Estamos comprometidos a trabajar juntos para alcanzar nuestros objetivos.,We are committed to working together to achieve our goals.,,,
estamos,no direct translation,Nos estamos esforzando para alcanzar nuestras metas.,We are striving to reach our goals.,,,
estamos,no direct translation,Estamos listos para empezar.,We are ready to start.,,,
estamos,no direct translation,Estamos avanzando bien con el nuevo proyecto.,We are making good progress with the new project.,,,
estamos,no direct translation,Estamos trabajando juntos para lograr nuestros objetivos.,We are working together to achieve our goals.,,,
estamos,no direct translation,Estamos listos para empezar.,We are ready to start.,,,
estar,no direct translation,Estoy muy contenta de estar aquí.,I am very happy to be here.,,,
estar,no direct translation,Estoy contenta de estar aquí.,I'm happy to be here.,,,
estar,no direct translation,Estaba muy contento de estar aquí.,I was very happy to be here.,,,
estar,no direct translation,Estoy feliz de estar aquí.,I'm happy to be here.,,,
estar,no direct translation,Estoy muy feliz de estar aquí.,I am very happy to be here.,,,
estar,no direct translation,Estoy feliz de estar aquí.,I am happy to be here.,,,
estar,no direct translation,Estoy aquí para estar a tu lado.,I'm here to be by your side.,,,
estar,no direct translation,Me encanta estar al aire libre.,I love being outdoors.,,,
estar,no direct translation,No quiero estar aquí por más tiempo.,I don't want to be here any longer.,,,
estar,no direct translation,Ella siempre está dispuesta a estar ahí para ayudar.,She is always willing to be there to help.,,,
estar,no direct translation,Estoy contento de estar aquí.,I'm happy to be here.,,,
estar,no direct translation,Estoy estar muy contento por mi logro.,I am very happy for my achievement.,,,
eres,no direct translation, Eres mi mejor amigo.,You are my best friend.,,,
eres,no direct translation,Eres mi mejor amigo.,You are my best friend.,,,
eres,no direct translation,Eres una persona maravillosa.,You are a wonderful person.,,,
eres,no direct translation,Eres la persona más maravillosa que conozco.,You are the most wonderful person I know.,,,
eres,no direct translation,Eres una gran fuente de inspiración para mí.,You are a great source of inspiration for me.,,,
eres,no direct translation,Tú eres una persona muy amable.,You are a very kind person.,,,
eres,no direct translation,Eres muy inteligente y siempre tienes algo interesante que decir.,You are very intelligent and always have something interesting to say.,,,
eres,no direct translation,Tú eres un gran amigo/a para mí.,You are a great friend to me.,,,
eres,no direct translation,Eres un gran líder y todos te siguen con confianza.,You are a great leader and everyone follows you confidently.,,,
eres,no direct translation,Eres muy divertido/a y siempre me haces reír.,You are very fun and always make me laugh.,,,
eres,no direct translation,Tú eres una persona muy trabajadora y siempre te esfuerzas para mejorar.,You are a very hardworking person and always strive to improve.,,,
eres,no direct translation,"Eres una persona muy valiente, siempre te enfrentas a los desafíos con coraje.","You are a very brave person, you always face challenges with courage.",,,
estáis,no direct translation,Estáis haciendo un buen trabajo.,You all are doing a good job.,,,
estáis,no direct translation,Vosotros estáis trabajando muy duro en esta tarea.,You all are working very hard on this task.,,,
estáis,no direct translation,Estáis haciendo un gran trabajo en equipo.,You all are doing a great job as a team.,,,
estáis,no direct translation,Vosotros estáis siguiendo el plan de manera efectiva.,You all are following the plan effectively.,,,
estáis,no direct translation,Estáis logrando resultados impresionantes.,You all are achieving impressive results.,,,
estáis,no direct translation,Vosotros estáis superando todas las expectativas.,You all are exceeding all expectations.,,,
estáis,no direct translation,¿Cómo estáis todos hoy?,How are you all doing today?,,,
estáis,no direct translation,Estáis compartiendo un momento especial.,You are sharing a special moment.,,,
estáis,no direct translation,Estáis cumpliendo con todas las expectativas que teníamos.,You are meeting all the expectations we had.,,,
palabra,word,frase,sentence,palabra_alterna,,
ir,to go,Me gusta ir al parque los fines de semana.,I like to go to the park on weekends.,,,
ir,to go,¿Puedes ir al supermercado y comprar leche?,Can you go to the supermarket and buy some milk?,,,
ir,to go,¿A dónde vas a ir de vacaciones este año?,Where are you going on vacation this year?,,,
ir,to go,Siempre me gusta ir al mismo restaurante porque tienen comida deliciosa.,I always like to go to the same restaurant because they have delicious food.,,,
ir,to go,No puedo ir al concierto mañana porque tengo que trabajar.,I can't go to the concert tomorrow because I have to work.,,,
ir,to go,Quiero ir al gimnasio más seguido para mejorar mi salud.,I want to go to the gym more often to improve my health.,,,
ir,to go,Me encanta ir de compras con mis amigas los sábados.,I love to go shopping with my friends on Saturdays.,,,
ir,to go,Mis padres van a ir de viaje el próximo mes.,My parents are going on a trip next month.,,,
ir,to go,"No te preocupes, yo puedo ir al correo a enviar la carta por ti.","Don't worry, I can go to the post office to send the letter for you.",,,
voy,I am going,Hoy voy a la playa con mis amigos para disfrutar del sol y el mar.,Today I'm going to the beach with my friends to enjoy the sun and the sea.,,,
voy,I am going,Mañana voy al supermercado para hacer las compras de la semana.,Tomorrow I'm going to the supermarket to do the weekly shopping.,,,
voy,I am going,Esta tarde voy al cine a ver la nueva película de terror que tanto he esperado.,This afternoon I'm going to the cinema to watch the new horror movie I've been waiting for.,,,
voy,I am going,"En mi próximo viaje, voy a visitar París para conocer la Torre Eiffel y otros sitios turísticos de la ciudad.","On my next trip, I'm going to visit Paris to see the Eiffel Tower and other tourist sites in the city.",,,
voy,I am going,Yo voy a caminar por el parque para hacer ejercicio.,I am going to walk in the park to exercise.,,,
voy,I am going,"El próximo mes, yo voy a visitar a mi familia en mi país natal.","Next month, I am going to visit my family in my home country.",,,
voy,I am going,Siempre llevo una botella de agua conmigo cuando yo voy al gimnasio.,I always bring a water bottle with me when I go to the gym.,,,
voy,I am going,Yo voy a estudiar mucho este fin de semana para mi examen de matemáticas.,I am going to study a lot this weekend for my math exam.,,,
voy,I am going,"Si tengo suficiente dinero, yo voy a comprar un nuevo teléfono celular.","If I have enough money, I am going to buy a new cell phone.",,,
voy,I am going,"Cuando terminemos de comer, yo voy a lavar los platos.","When we finish eating, I am going to wash the dishes.",,,
vas,(you go),¿Vas a la fiesta esta noche?,Are you going to the party tonight?,,,
vas,(you go),"Si vas al supermercado, por favor trae leche y pan.","If you go to the supermarket, please bring milk and bread.",,,
vas,(you go),¿Vas a la universidad o trabajas tiempo completo?,Are you going to college or working full-time?,,,
vas,(you go),No vas a creer lo que acabo de escuchar.,You're not going to believe what I just heard.,,,
vas,(you go),"Si vas al parque, asegúrate de llevar protector solar.","If you go to the park, make sure to bring sunscreen.",,,
vas,(you go),¿Vas a ir al cine conmigo el fin de semana?,Are you going to the movies with me this weekend?,,,
vas,(you go),Tú vas a la tienda y yo voy a la farmacia.,You go to the store and I'm going to the pharmacy.,,,
vas,(you go),¿Tú vas a la reunión mañana por la mañana?,Are you going to the meeting tomorrow morning?,,,
vas,(you go),"Si tú vas a la fiesta, asegúrate de llegar temprano.","If you're going to the party, make sure to arrive early.",,,
vas,(you go),¿Tú vas a dejar de fumar o seguirás haciéndolo?,Are you going to quit smoking or keep doing it?,,,
va,(he/she/you goes),El equipo de fútbol va a jugar en el estadio este fin de semana.,The soccer team is going to play at the stadium this weekend.,,,
va,(he/she/you goes),Mi hermana mayor va a graduarse de la universidad en mayo.,My older sister is going to graduate from college in May.,,,
va,(he/she/you goes),¿A dónde va la carretera que está frente a la casa?,Where does the road in front of the house go?,,,
va,(he/she/you goes),"Hoy hace mucho calor, así que creo que va a ser un día difícil.","It's very hot today, so I think it's going to be a difficult day.",,,
va,(he/she/you goes),¿Podrías decirme a qué hora va a pasar el autobús por aquí?,Could you tell me what time the bus is going to pass by here?,,,
va,(he/she/you goes),Ella va a la escuela todos los días en autobús.,She goes to school every day by bus.,,,
va,(he/she/you goes),Él va a visitar a su familia en otra ciudad este fin de semana.,He is going to visit his family in another city this weekend.,,,
va,(he/she/you goes),Usted va a tener que trabajar mucho para terminar este proyecto a tiempo.,You are going to have to work hard to finish this project on time.,,,
va,(he/she/you goes),Ella va a hacer una presentación en la conferencia de negocios mañana por la mañana.,She is going to give a presentation at the business conference tomorrow morning.,,,
va,(he/she/you goes),¿Usted va a asistir a la reunión del equipo esta tarde?,Are you going to attend the team meeting this afternoon?,,,
vamos,(we go),"Vamos al cine esta noche, ¿te parece?","Let's go to the cinema tonight, shall we?",,,
vamos,(we go),"¡Vamos, no te rindas, puedes hacerlo!","Come on, don't give up, you can do it!",,,
vamos,(we go),¿Vamos juntos al supermercado a comprar las cosas para la cena?,Shall we go together to the supermarket to buy things for dinner?,,,
vamos,(we go),"Vamos a necesitar un paraguas, parece que va a llover.","We're going to need an umbrella, it looks like it's going to rain.",,,
vamos,(we go),"¡Vamos, apúrate, que ya estamos llegando tarde!","Let's go, hurry up, we're already running late!",,,
vamos,(we go),Nosotras vamos a caminar por el parque esta tarde.,We are going to walk through the park this afternoon.,,,
vamos,(we go),¿Nosotros vamos a tomar el mismo autobús que tú?,Are we going to take the same bus as you?,,,
vamos,(we go),Nosotras vamos a preparar la cena para toda la familia.,We are going to prepare dinner for the whole family.,,,
vamos,(we go),¿Nosotros vamos a asistir a la conferencia juntos?,Are we going to attend the conference together?,,,
vamos,(we go),Nosotros vamos a donar una parte de nuestras ganancias a una organización benéfica.,We are going to donate a portion of our earnings to a charitable organization.,,,
vais,(you all go),¿A qué hora vais a salir de casa mañana?,What time are you all going to leave the house tomorrow?,,,
vais,(you all go),"Si no os dais prisa, vais a llegar tarde al cine.","If you don't hurry up, you all are going to be late for the movie.",,,
vais,(you all go),¿Vais a invitar a alguien más a la fiesta?,Are you all going to invite someone else to the party?,,,
vais,(you all go),"Si seguís estudiando así de bien, vais a aprobar el examen seguro.","If you all keep studying this well, you're definitely going to pass the exam.",,,
vais,(you all go),¿Vais a ir a la playa este fin de semana?,Are you all going to the beach this weekend?,,,
vais,(you all go),Vosotras vais a tener que llegar temprano para conseguir un buen lugar en la fila.,You all are going to have to arrive early to get a good spot in line.,,,
vais,(you all go),¿Vosotros vais a venir a mi fiesta de cumpleaños este fin de semana?,Are you all going to come to my birthday party this weekend?,,,
vais,(you all go),"No sé adónde vais a ir de vacaciones este año, ¿tenéis algún plan en mente?","I don't know where you all are going on vacation this year, do you have any plans in mind?",,,
vais,(you all go),"Si queréis llegar a tiempo a la reunión, vosotros vais a tener que tomar el metro.","If you want to arrive on time to the meeting, you all will have to take the subway.",,,
vais,(you all go),Vosotras vais a ser las encargadas de preparar los aperitivos para la fiesta de graduación.,You all are going to be in charge of preparing the appetizers for the graduation party.,,,
van,(they/you all go),Mi amigo y yo vamos a viajar en una van grande para nuestro próximo viaje por carretera.,My friend and I are going to travel in a large van for our next road trip.,,,
van,(they/you all go),Ayer vi una van de reparto de paquetes estacionada en la calle.,Yesterday I saw a delivery van parked on the street.,,,
van,(they/you all go),Los músicos cargaron todos sus instrumentos en la parte trasera de la van antes de dirigirse al concierto.,The musicians loaded all their instruments in the back of the van before heading to the concert.,,,
van,(they/you all go),Mi vecino alquila una van para transportar a su equipo de fútbol a los partidos de los fines de semana.,My neighbor rents a van to transport his soccer team to weekend games.,,,
van,(they/you all go),La empresa de mudanzas envió una van para llevar mis muebles nuevos a mi casa.,The moving company sent a van to bring my new furniture to my house.,,,
van,(they/you all go),Ellos van a la fiesta juntos.,They are going to the party together.,,,
van,(they/you all go),Ustedes van a tener un gran tiempo en su viaje.,You all are going to have a great time on your trip.,,,
van,(they/you all go),Ellas van a caminar por el parque esta tarde.,They (feminine) are going to walk in the park this afternoon.,,,
van,(they/you all go),¿A dónde van a ir para sus vacaciones este año?,Where are you all going for your vacation this year?,,,
van,(they/you all go),Los estudiantes dicen que ellos van a estudiar para el examen de mañana.,The students say that they are going to study for tomorrow's exam.,,,
palabra,word,frase,sentence,palabra_alterna,,
la reunión,meeting,La reunión de hoy se canceló debido a un problema técnico.,Today's meeting was canceled due to a technical issue.,,,
las ventas,sales,El jefe de la empresa quiere aumentar las ventas el próximo trimestre.,The company's CEO wants to increase sales next quarter.,,,
la oficina,office,La oficina tiene un ambiente muy agradable y colaborativo.,The office has a very pleasant and collaborative environment.,,,
estos documentos,documents,Necesito imprimir estos documentos para la presentación de mañana.,I need to print these documents for tomorrow's presentation.,,,
nuevo producto,product,La empresa ha lanzado un nuevo producto al mercado con gran éxito.,The company has successfully launched a new product in the market.,,,
el correo electrónico,email,El correo electrónico es una herramienta fundamental para la comunicación en el trabajo.,Email is a fundamental tool for communication at work.,,,
la competencia,competition,La competencia entre empresas del mismo rubro es cada vez más intensa.,Competition between companies in the same industry is becoming increasingly intense.,,,
la empresa,company,La empresa está comprometida con el desarrollo sostenible y la responsabilidad social.,The company is committed to sustainable development and social responsibility.,,,
el servicio,service,El cliente está insatisfecho con el servicio que recibió y ha presentado una queja.,The customer is dissatisfied with the service they received and has filed a complaint.,,,
finanzas,finance,El departamento de finanzas es el encargado de administrar el presupuesto de la empresa.,The finance department is responsible for managing the company's budget.,,,
ganancias,profits,La empresa ha logrado aumentar sus ganancias en el último año.,The company has managed to increase its profits in the last year.,,,
suministros,supplies,Necesito comprar algunos suministros de oficina como papel y bolígrafos.,I need to buy some office supplies like paper and pens.,,,
nuevos proveedores,suppliers,La empresa está buscando nuevos proveedores de materia prima para reducir costos.,The company is looking for new raw material suppliers to reduce costs.,,,
nuevos clientes,clients/customers,El equipo de ventas está trabajando en una estrategia para captar nuevos clientes.,The sales team is working on a strategy to attract new customers.,,,
la publicidad,advertising,La publicidad es un factor clave para el éxito de una empresa en el mercado.,Advertising is a key factor for a company's success in the market.,,,
logística,logistics,El departamento de logística se encarga de la gestión de inventarios y entregas.,The logistics department is responsible for inventory management and deliveries.,,,
una alianza,alliance,La empresa ha establecido una alianza con otra compañía para expandir su mercado.,The company has established a partnership with another company to expand its market.,,,
una llamada,call,Necesito hacer una llamada telefónica importante para cerrar un trato de negocios.,I need to make an important phone call to close a business deal.,,,
el balance general,balance sheet,El balance general es un informe financiero que muestra la situación de una empresa.,The balance sheet is a financial report that shows the company's situation.,,,
una campaña,campaign,La empresa ha lanzado una campaña publicitaria en las redes sociales.,The company has launched an advertising campaign on social media.,,,
marketing,marketing,El departamento de marketing se encarga de promocionar los productos de la empresa.,The marketing department is responsible for promoting the company's products.,,,
la innovación,innovation,La innovación es un factor fundamental para mantenerse competitivo en el mercado.,Innovation is a fundamental factor to remain competitive in the market.,,,
teletrabajo,telecommuting,La empresa ha implementado un sistema de teletrabajo para sus empleados.,The company has implemented a telecommuting system for its employees.,,,
la negociación,negotiation,La negociación es una habilidad importante en el mundo de los negocios.,Negotiation is an important skill in the business world.,,,
nuevas sucursales,branches,La empresa está en proceso de expansión y ha abierto nuevas sucursales en el extranjero.,The company is in the process of expansion and has opened new branches overseas.,,,
el contrato,contract,El contrato establece las condiciones de trabajo y los derechos y obligaciones de las partes.,The contract establishes the working conditions and the rights and obligations of the parties.,,,
la contabilidad,accounting,La contabilidad es una actividad que permite llevar un control financiero de la empresa.,Accounting is an activity that allows financial control of the company.,,,
nuevos talentos,talent,La empresa está buscando nuevos talentos para integrar a su equipo de trabajo.,The company is looking for new talents to integrate into its workforce.,,,
la estrategia,strategy,La estrategia de precios es un factor importante para competir en el mercado.,The pricing strategy is an important factor to compete in the market.,,,
descuentos,discounts,El departamento de ventas está ofreciendo descuentos para incentivar las compras.,The sales department is offering discounts to incentivize purchases.,,,
tecnología,technology,El departamento de tecnología se encarga del mantenimiento y actualización de los equipos informáticos.,The technology department is responsible for the maintenance and updating of the computer equipment.,,,
medidas,measures,La empresa está implementando medidas para mejorar la eficiencia y reducir costos.,The company is implementing measures to improve efficiency and reduce costs.,,,
la factura,invoice,La factura es un documento que se emite para cobrar los productos o servicios vendidos.,The invoice is a document issued to charge for the products or services sold.,,,
capacitaciones,training,La empresa está ofreciendo capacitaciones para mejorar las habilidades de su personal.,The company is offering training to improve the skills of its personnel.,,,
el mercado,market,El mercado está en constante cambio y es necesario adaptarse a las nuevas tendencias.,"The market is constantly changing, and it is necessary to adapt to new trends.",,,
atención al cliente,customer service,El departamento de atención al cliente se encarga de resolver las dudas y quejas de los consumidores.,The customer service department is responsible for resolving doubts and complaints from consumers.,,,
una certificación,certification,La empresa ha obtenido una certificación de calidad que garantiza el buen desempeño de sus productos.,The company has obtained a quality certification that guarantees the good performance of its products.,,,
palabra,word,frase,sentence,palabra_alterna,,
yo,I,Yo estudio español todos los días para mejorar mi comunicación.,I study Spanish every day to improve my communication.,,,
yo,I,Yo prefiero el café colombiano porque tiene un sabor más fuerte.,I prefer Colombian coffee because it has a stronger flavor.,,,
yo,I,"A mí me encanta viajar y conocer nuevas culturas, yo he visitado muchos países.","I love to travel and experience new cultures, I have visited many countries.",,,
yo,I,Yo siempre llevo mi teléfono móvil en el bolsillo porque no me gusta dejarlo en casa.,I always carry my mobile phone in my pocket because I don't like to leave it at home.,,,
yo,I,"Yo quiero comprar un coche nuevo el año que viene, pero primero tengo que ahorrar suficiente dinero.","I want to buy a new car next year, but first I have to save enough money.",,,
tú,you,"Tú eres mi mejor amigo, siempre me haces reír.","You are my best friend, you always make me laugh.",,,
tú,you,¿Tú quieres ir al cine conmigo esta noche?,Do you want to go to the movies with me tonight?,,,
tú,you,"Tú tienes una voz muy bonita, deberías cantar más seguido.","You have a very nice voice, you should sing more often.",,,
tú,you,Tú y yo podemos hacer juntos el proyecto para la clase de matemáticas.,You and I can work on the math project together.,,,
tú,you,¿Tú sabes si la biblioteca abre los domingos?,Do you know if the library is open on Sundays?,,,
él,he,"Él es un excelente cocinero, siempre hace platos deliciosos.","He is an excellent cook, he always makes delicious dishes.",,,
él,he,Él va al gimnasio todas las mañanas para hacer ejercicio.,He goes to the gym every morning to work out.,,,
él,he,"A él le gusta la música clásica, prefiere escucharla en lugar de otros géneros.","He likes classical music, he prefers to listen to it instead of other genres.",,,
él,he,Él tiene dos hermanos mayores y una hermana menor.,He has two older brothers and a younger sister.,,,
él,he,"Él es un gran fanático de los deportes, especialmente del fútbol.","He is a big sports fan, especially of soccer.",,,
ella,she,"Ella es una mujer muy inteligente y trabajadora, siempre se esfuerza al máximo.","She is a very smart and hardworking woman, she always gives her best effort.",,,
ella,she,Ella va a la universidad para estudiar ingeniería civil.,She goes to college to study civil engineering.,,,
ella,she,"A ella le encanta bailar salsa, va a clases todos los sábados.","She loves to dance salsa, she goes to classes every Saturday.",,,
ella,she,"Ella tiene dos gatos y un perro, todos son muy juguetones.","She has two cats and a dog, they are all very playful.",,,
ella,she,Ella quiere viajar por todo el mundo y conocer nuevas culturas.,She wants to travel around the world and experience new cultures.,,,
usted,you,Usted necesita ayuda con su equipaje?,Do you need help with your luggage? (formal),,,
usted,you,Usted es muy amable por ofrecerme su asiento.,You are very kind to offer me your seat. (formal),,,
usted,you,"¿Usted me puede decir la hora, por favor?","Can you tell me the time, please? (formal)",,,
usted,you,¿Qué planes tiene usted para el fin de semana?,What plans do you have for the weekend? (formal),,,
nosotros,we,Nosotros vamos a la playa cada verano para disfrutar del sol y del mar.,We go to the beach every summer to enjoy the sun and the sea. (masculine or mixed group),,,
nosotros,we,Nosotros estamos muy emocionados por el concierto de esta noche.,We are very excited about tonight's concert. (masculine or mixed group),,,
nosotros,we,Nosotros queremos visitar todos los museos en esta ciudad.,We want to visit all the museums in this city. (masculine or mixed group),,,
nosotros,we,Nosotros somos los mejores amigos desde la infancia.,We have been best friends since childhood. (masculine or mixed group),,,
nosotros,we,Nosotros nunca olvidaremos ese viaje a Europa.,We will never forget that trip to Europe. (masculine or mixed group),,,
nosotras,we,Nosotras estudiamos juntas para el examen de historia.,We study together for the history exam. (feminine group),,,
nosotras,we,Nosotras siempre nos apoyamos la una a la otra en los momentos difíciles.,We always support each other in difficult times. (feminine group),,,
nosotras,we,Nosotras decidimos hacer una cena especial para celebrar nuestro aniversario.,We decided to have a special dinner to celebrate our anniversary. (feminine group),,,
nosotras,we,Nosotras queremos viajar por todo el mundo juntas.,We want to travel around the world together. (feminine group),,,
nosotras,we,Nosotras tenemos gustos similares en cuanto a la música y los libros.,We have similar tastes in music and books. (feminine group),,,
vosotros,you all,Vosotros sois los mejores estudiantes de la clase.,You all are the best students in the class. (masculine or mixed group),Ustedes,,
vosotros,you all,Vosotros podéis hablar inglés y francés con fluidez.,You all can speak English and French fluently. (masculine or mixed group),Ustedes,,
vosotros,you all,¿Vosotros queréis ir al cine conmigo esta noche?,Do you all want to go to the movies with me tonight? (masculine or mixed group),Ustedes,,
vosotros,you all,"Vosotros habéis trabajado duro todo el año, ¡ahora es tiempo de relajarse!","You all have worked hard all year, now it's time to relax! (masculine or mixed group)",Ustedes,,
vosotros,you all,¿Qué planes tenéis vosotros para el fin de semana?,What plans do you all have for the weekend? (masculine or mixed group),Ustedes,,
vosotras,you all,Vosotras sois las mejores amigas que alguien podría pedir.,You all are the best friends anyone could ask for. (feminine group),Ustedes,,
vosotras,you all,¿Vosotras queréis ir a la playa o a la montaña este fin de semana?,Do you all want to go to the beach or the mountains this weekend? (feminine group),Ustedes,,
vosotras,you all,"Vosotras habéis trabajado duro en el proyecto, ¡felicidades!","You all have worked hard on the project, congratulations! (feminine group)",Ustedes,,
vosotras,you all,¿Qué planes tenéis vosotras para el verano?,What plans do you all have for the summer? (feminine group),Ustedes,,
vosotras,you all,Vosotras siempre sabéis cómo hacerme reír.,You all always know how to make me laugh. (feminine group),Ustedes,,
ellos,they,Ellos son los dueños de la casa que está al final de la calle.,They are the owners of the house at the end of the street. (masculine or mixed group),,,
ellos,they,Ellos siempre van a la misma cafetería para desayunar.,They always go to the same café for breakfast. (masculine or mixed group),,,
ellos,they,Ellos se conocieron en la universidad y han sido amigos desde entonces.,They met in college and have been friends ever since. (masculine or mixed group),,,
ellos,they,Ellos ganaron el partido de fútbol gracias a un gol en el último minuto.,They won the soccer match thanks to a goal in the last minute. (masculine or mixed group),,,
ellos,they,Ellos quieren viajar por todo Sudamérica antes de establecerse en un lugar definitivo.,They want to travel throughout South America before settling down in a permanent place. (masculine or mixed group),,,
ellas,they,Ellas son las encargadas de organizar la fiesta de cumpleaños.,They are in charge of organizing the birthday party. (feminine group),,,
ellas,they,¿Ellas vienen a la reunión de esta tarde?,Are they coming to the meeting this afternoon? (feminine group),,,
ellas,they,Ellas prefieren salir de noche en lugar de quedarse en casa.,They prefer to go out at night instead of staying at home. (feminine group),,,
ellas,they,Ellas están estudiando para el examen de mañana juntas.,They are studying together for tomorrow's exam. (feminine group),,,
ellas,they,Ellas están planeando un viaje a la playa para el verano.,They are planning a beach trip for the summer. (feminine group),,,
estoy,I am,Estoy sentado.,I am sitting down.,yo estoy,,
está,is,El libro está en la mesa.,The book is on the table.,,,
estás,are,Tú estás caminando.,You (singular) are walking.,tú estás,,
está,it is,Está lloviendo hoy.,It is raining today.,,,
estoy,I am,Estoy feliz,I am happy.,yo estoy,,
están,are,Ellos están en el jardín.,They are in the garden.,,,
está,is,El gato está dormido en el sol.,The cat is sleeping in the sun.,,,
están,are,En este momento mis amigas están en la tienda.,In this moment my (feminine) friends are in the store.,,,
estás,are,¿Tú estás listo para salir ahora?,Are you (singular) ready to leave now?,,,
estamos,are,Nosotros estamos contentos.,We are content.,,,
estar,to be,Hoy va a estar el dia lluvioso.,Today is going to be a rainy day.,ser,,
estoy,no direct translation,Estoy feliz de tenerte a mi lado.,I'm happy to have you by my side.,,,
estoy,no direct translation,Estoy muy contento de haber aprendido este nuevo vocabulario.,I'm very happy to have learned this new vocabulary.,,,
estoy,no direct translation,Estoy contenta con el resultado.,I am happy with the result.,,,
estoy,no direct translation,Estoy contento de que la situación haya mejorado.,I am glad that the situation has improved.,,,
estoy,no direct translation,Estoy usando esta palabra para practicar ortografía.,I am using this word to practice spelling.,,,
estoy,no direct translation,Estoy muy emocionado por la oportunidad que se me ha presentado.,I am very excited for the opportunity that has been presented to me.,,,
estoy,no direct translation,Estoy segura de que tendré éxito.,I'm sure I'll be successful.,,,
estoy,no direct translation,Estoy contento de estar aquí.,I'm happy to be here.,,,
estoy,no direct translation,Estoy deseando tener un día libre para descansar.,I'm looking forward to having a day off to rest.,,,
estoy,no direct translation,Estoy feliz de poder compartir esta experiencia con mis amigos.,I'm happy to be able to share this experience with my friends.,,,
estoy,no direct translation,Estoy listo para comenzar.,I'm ready to start.,,,
está,no direct translation,Esta tarea está pendiente de ser completada.,This task is pending to be completed.,,,
está,no direct translation,El tiempo está hermoso hoy.,The weather is beautiful today.,,,
está,no direct translation,El partido está a punto de comenzar.,The match is about to begin.,,,
está,no direct translation,La ciudad está llena de vida y energía.,The city is full of life and energy.,,,
está,no direct translation,La tienda está cerrando en 10 minutos.,The store is closing in 10 minutes.,,,
está,no direct translation,El libro está en la estantería de arriba.,The book is on the shelf above.,,,
está,no direct translation,Mi amigo está enfermo en casa hoy.,My friend is sick at home today.,,,
está,no direct translation,El tren está llegando a la estación.,The train is arriving at the station.,,,
está,no direct translation,Mi casa está en el campo.,My house is in the countryside.,,,
está,no direct translation,El edificio está en construcción.,The building is under construction.,,,
está,no direct translation,Está prohibido fumar en esta área.,Smoking is prohibited in this area.,,,
